,period,num_trips,passenger_count,total_amount,trip_distance
0,2001-01-01 00:06:49,10,14.0,564.35,111.22000000000001
1,2023-02-22 16:10:39,55,54.0,910.8999999999999,0.01
2,2023-02-27 11:30:15,560895,739953.0,15181854.489999708,2412606.4199999934
3,2023-03-06 00:00:03,774813,1019293.0,21192570.6699997,2739557.760000022
4,2023-03-13 00:00:00,787016,1044648.0,22096056.769999173,3079735.470000018
5,2023-03-20 00:00:00,734288,969859.0,20675428.189999226,2935650.000000009
6,2023-03-27 00:00:00,546619,707576.0,15487225.759999389,2120015.0300000105
7,2023-04-03 11:25:19,69,100.0,1693.55,179.48000000000002
8,2014-11-19 08:18:40,1,2.0,52.38,6.43
